GKZ,Gebietsname,Wahlberechtigte,stimmen_abg,stimmen_ung,stimmen_guel,candidate,result_abs,result_pct,bland,bezirk,sprengl,wahlkarte
G00000,Österreich,6363489,4148079,91348,4056731,Dr. Michael Brunner,85465,2.106745554487098,Österreich,FALSE,FALSE,FALSE
G00000,Österreich,6363489,4148079,91348,4056731,Gerald Grosz,225942,5.569558346363118,Österreich,FALSE,FALSE,FALSE
G00000,Österreich,6363489,4148079,91348,4056731,Dr. Walter Rosenkranz,717097,17.676720492435905,Österreich,FALSE,FALSE,FALSE
G00000,Österreich,6363489,4148079,91348,4056731,Heinrich Staudinger,64411,1.587756250044679,Österreich,FALSE,FALSE,FALSE
G00000,Österreich,6363489,4148079,91348,4056731,Dr. Alexander Van der Bellen,2299592,56.68583891808454,Österreich,FALSE,FALSE,FALSE
G00000,Österreich,6363489,4148079,91348,4056731,Dr. Tassilo Wallentin,327214,8.065952610611845,Österreich,FALSE,FALSE,FALSE
G00000,Österreich,6363489,4148079,91348,4056731,Dr. Dominik Wlazny,337010,8.307427827972818,Österreich,FALSE,FALSE,FALSE
G10000,Burgenland,233412,164521,5411,159110,Dr. Michael Brunner,2716,1.7069951605807303,Burgenland,FALSE,FALSE,FALSE
G10000,Burgenland,233412,164521,5411,159110,Gerald Grosz,9999,6.2843315944943745,Burgenland,FALSE,FALSE,FALSE
G10000,Burgenland,233412,164521,5411,159110,Dr. Walter Rosenkranz,27395,17.217648167934133,Burgenland,FALSE,FALSE,FALSE
G10000,Burgenland,233412,164521,5411,159110,Heinrich Staudinger,1586,0.9967946703538433,Burgenland,FALSE,FALSE,FALSE
G10000,Burgenland,233412,164521,5411,159110,Dr. Alexander Van der Bellen,84279,52.96901514675382,Burgenland,FALSE,FALSE,FALSE
G10000,Burgenland,233412,164521,5411,159110,Dr. Tassilo Wallentin,18419,11.576267990698259,Burgenland,FALSE,FALSE,FALSE
G10000,Burgenland,233412,164521,5411,159110,Dr. Dominik Wlazny,14716,9.248947269184841,Burgenland,FALSE,FALSE,FALSE
G10099,Wahlkarten - Burgenland,0,19505,395,19110,Dr. Michael Brunner,301,1.575091575091575,Burgenland,FALSE,FALSE,TRUE
G10099,Wahlkarten - Burgenland,0,19505,395,19110,Gerald Grosz,915,4.78806907378336,Burgenland,FALSE,FALSE,TRUE
G10099,Wahlkarten - Burgenland,0,19505,395,19110,Dr. Walter Rosenkranz,2353,12.312925170068027,Burgenland,FALSE,FALSE,TRUE
G10099,Wahlkarten - Burgenland,0,19505,395,19110,Heinrich Staudinger,214,1.119832548403977,Burgenland,FALSE,FALSE,TRUE
G10099,Wahlkarten - Burgenland,0,19505,395,19110,Dr. Alexander Van der Bellen,11671,61.0727367870225,Burgenland,FALSE,FALSE,TRUE
G10099,Wahlkarten - Burgenland,0,19505,395,19110,Dr. Tassilo Wallentin,1786,9.34589220303506,Burgenland,FALSE,FALSE,TRUE
G10099,Wahlkarten - Burgenland,0,19505,395,19110,Dr. Dominik Wlazny,1870,9.7854526425955,Burgenland,FALSE,FALSE,TRUE
G10100,Eisenstadt Stadt,11101,7657,173,7484,Dr. Michael Brunner,118,1.5766969535008015,Burgenland,TRUE,FALSE,FALSE
G10100,Eisenstadt Stadt,11101,7657,173,7484,Gerald Grosz,380,5.077498663816141,Burgenland,TRUE,FALSE,FALSE
G10100,Eisenstadt Stadt,11101,7657,173,7484,Dr. Walter Rosenkranz,911,12.172634954569748,Burgenland,TRUE,FALSE,FALSE
G10100,Eisenstadt Stadt,11101,7657,173,7484,Heinrich Staudinger,74,0.9887760555852485,Burgenland,TRUE,FALSE,FALSE
G10100,Eisenstadt Stadt,11101,7657,173,7484,Dr. Alexander Van der Bellen,4517,60.35542490646713,Burgenland,TRUE,FALSE,FALSE
G10100,Eisenstadt Stadt,11101,7657,173,7484,Dr. Tassilo Wallentin,658,8.792089791555318,Burgenland,TRUE,FALSE,FALSE
G10100,Eisenstadt Stadt,11101,7657,173,7484,Dr. Dominik Wlazny,826,11.036878674505612,Burgenland,TRUE,FALSE,FALSE
G10101,Eisenstadt,11101,6490,153,6337,Dr. Michael Brunner,101,1.593814107621903,Burgenland,FALSE,TRUE,FALSE
G10101,Eisenstadt,11101,6490,153,6337,Gerald Grosz,345,5.444216506233233,Burgenland,FALSE,TRUE,FALSE
G10101,Eisenstadt,11101,6490,153,6337,Dr. Walter Rosenkranz,807,12.734732523276,Burgenland,FALSE,TRUE,FALSE
G10101,Eisenstadt,11101,6490,153,6337,Heinrich Staudinger,57,0.8994792488559256,Burgenland,FALSE,TRUE,FALSE
G10101,Eisenstadt,11101,6490,153,6337,Dr. Alexander Van der Bellen,3739,59.00268265740887,Burgenland,FALSE,TRUE,FALSE
G10101,Eisenstadt,11101,6490,153,6337,Dr. Tassilo Wallentin,574,9.057913839356162,Burgenland,FALSE,TRUE,FALSE
G10101,Eisenstadt,11101,6490,153,6337,Dr. Dominik Wlazny,714,11.267161117247909,Burgenland,FALSE,TRUE,FALSE
G10199,Wahlkarten - Eisenstadt Stadt,0,1167,20,1147,Dr. Michael Brunner,17,1.4821272885789014,Burgenland,FALSE,TRUE,TRUE
G10199,Wahlkarten - Eisenstadt Stadt,0,1167,20,1147,Gerald Grosz,35,3.051438535309503,Burgenland,FALSE,TRUE,TRUE
G10199,Wahlkarten - Eisenstadt Stadt,0,1167,20,1147,Dr. Walter Rosenkranz,104,9.06713164777681,Burgenland,FALSE,TRUE,TRUE
G10199,Wahlkarten - Eisenstadt Stadt,0,1167,20,1147,Heinrich Staudinger,17,1.4821272885789014,Burgenland,FALSE,TRUE,TRUE
G10199,Wahlkarten - Eisenstadt Stadt,0,1167,20,1147,Dr. Alexander Van der Bellen,778,67.82911944202267,Burgenland,FALSE,TRUE,TRUE
G10199,Wahlkarten - Eisenstadt Stadt,0,1167,20,1147,Dr. Tassilo Wallentin,84,7.323452484742806,Burgenland,FALSE,TRUE,TRUE
G10199,Wahlkarten - Eisenstadt Stadt,0,1167,20,1147,Dr. Dominik Wlazny,112,9.76460331299041,Burgenland,FALSE,TRUE,TRUE
G10200,Rust Stadt,1605,1161,50,1111,Dr. Michael Brunner,16,1.4401440144014401,Burgenland,TRUE,FALSE,FALSE
G10200,Rust Stadt,1605,1161,50,1111,Gerald Grosz,90,8.1008100810081,Burgenland,TRUE,FALSE,FALSE
G10200,Rust Stadt,1605,1161,50,1111,Dr. Walter Rosenkranz,134,12.061206120612061,Burgenland,TRUE,FALSE,FALSE
G10200,Rust Stadt,1605,1161,50,1111,Heinrich Staudinger,23,2.07020702070207,Burgenland,TRUE,FALSE,FALSE
G10200,Rust Stadt,1605,1161,50,1111,Dr. Alexander Van der Bellen,613,55.17551755175517,Burgenland,TRUE,FALSE,FALSE
G10200,Rust Stadt,1605,1161,50,1111,Dr. Tassilo Wallentin,123,11.071107110711072,Burgenland,TRUE,FALSE,FALSE
G10200,Rust Stadt,1605,1161,50,1111,Dr. Dominik Wlazny,112,10.081008100810081,Burgenland,TRUE,FALSE,FALSE
