"Source","Target","Weight"
"wernertyann","2ross",1
"tweetreaktor","2teguy1",1
"eugen198022","abaerbock",1
"drakkalas","adverteisa",1
"woli2017","alexwallasch",1
"eugen198022","ardmoma",1
"adverteisa","arminwolf",8
"engelbertdejaco","arminwolf",1
"evaspreitzhofer","arminwolf",1
"grafkaroly","arminwolf",1
"markusmoser6","arminwolf",1
"alexelbakyan","auswaertigesamt",1
"aram1174","auswaertigesamt",1
"aramaram8811","auswaertigesamt",1
"avakhovian","auswaertigesamt",1
"avtvnv1110","auswaertigesamt",1
"bobby48500678","auswaertigesamt",1
"boesmensch60488","auswaertigesamt",1
"bongolicious11","auswaertigesamt",1
"dame_vonwelt","auswaertigesamt",1
"dasilbekyan","auswaertigesamt",1
"elnin0","auswaertigesamt",1
"ereshkijal","auswaertigesamt",1
"firatturgutw","auswaertigesamt",1
"grgoiret","auswaertigesamt",1
"grnr_s","auswaertigesamt",1
"hasanha95212799","auswaertigesamt",1
"herr_berrt","auswaertigesamt",1
"iliasuyar","auswaertigesamt",1
"joel_d96","auswaertigesamt",1
"klimovskayaa","auswaertigesamt",1
"kngregorian","auswaertigesamt",1
"knowyourbrain20","auswaertigesamt",1
"kyureghyanm","auswaertigesamt",1
"larskppen2","auswaertigesamt",1
"ld23092","auswaertigesamt",1
"lemmi2017","auswaertigesamt",1
"levon64406850","auswaertigesamt",1
"lolakid6","auswaertigesamt",1
"mi_hayuhi","auswaertigesamt",1
"mxjkblindemann","auswaertigesamt",1
"narbarvie","auswaertigesamt",1
"niedarein","auswaertigesamt",1
"philiphogh","auswaertigesamt",1
"politikcity","auswaertigesamt",1
"raffinoname","auswaertigesamt",1
"raz_u","auswaertigesamt",1
"seseseseseb","auswaertigesamt",1
"sssupervillain","auswaertigesamt",1
"stadtschaf","auswaertigesamt",1
"stein_til","auswaertigesamt",1
"suuyuki_sui","auswaertigesamt",1
"taltalim_tali","auswaertigesamt",1
"textautomat","auswaertigesamt",1
"tigranabgarjan","auswaertigesamt",1
"tobiasb10527013","auswaertigesamt",1
"tumalwas","auswaertigesamt",1
"whitney_barbra","auswaertigesamt",1
"wolfgangl81","auswaertigesamt",1
"yanis_echtsauer","auswaertigesamt",1
"zart_core","auswaertigesamt",1
"staatskanzleibb","beelitz",1
"collectingsmile","berlin",2
"iliasuyar","bprsprecherin",2
"collectingsmile","cdu",3
"kohn_sylvia","chrisnew66",1
"theshield_1969","chrisnew66",1
"chrisnew66","claus",1
"evaspreitzhofer","corinnamilborn",1
"therealmrboccia","corinnamilborn",1
"collectingsmile","daily",1
"samuelabane","danielf85764655",1
"samuelabane","de",1
"alexwolf1982","derkandidat",1
"tomfis6","derkandidat",1
"green_evita08","derstandardat",1
"lady_desire_net","desire",1
"john_medalen","detottel",1
"reineraberja","detottel",1
"marcelreinmann","dfae",1
"alexwolf1982","diegruenen",1
"chrisnew66","diegruenen",1
"disinformate_at","diepressecom",1
"adverteisa","dieraffa",1
"marcelreinmann","eda",1
"horn_helmut","emmanuelmacron",1
"kraft_deejay","emmapeel",1
"frankenzicke","feinesahne",1
"luckytownhh","feinesahne",1
"mel_chiara74","feinesahne",1
"attaube3","fpiatov",1
"winrichgermann","fpiatov",1
"green_evita08","fpoe",1
"lutzg","frankwalterste8",1
"dushyantgadewal","fraunho",1
"dushyantgadewal","fraunhofer",2
"fraunhofer_igd","fraunhofer",1
"fraunhofer_igd","fraunhoferpolit",1
"dirkschumann77","freitag",1
"apfl","geraldgrosz",1
